City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,boguchany,58.3814,97.4531,-16.74,89,100,4.54,RU,1707778697
202,lemvig,56.5486,8.3102,2.33,97,100,1.07,DK,1707778698
203,salobrena,36.7428,-3.5872,19.15,64,52,6.95,ES,1707778698
204,levelland,33.5873,-102.378,7.88,99,50,2.65,US,1707778699
205,ushuaia,-54.8,-68.3,11.81,58,0,1.54,AR,1707778700
206,kawanoecho,34.0167,133.5667,7.04,66,0,1.9,JP,1707778700
207,sadabad,27.45,78.05,12.24,47,41,1.82,IN,1707778701
208,kristiansund,63.1115,7.732,5.36,48,100,2.57,NO,1707778702
209,vilhena,-12.7406,-60.1458,22.12,100,100,3.6,BR,1707778702
210,galliano,29.4422,-90.2992,17.0,47,0,8.23,US,1707778703
211,bima,-8.4667,118.7167,25.62,93,100,0.28,ID,1707778704
212,kingston,17.997,-76.7936,28.53,73,20,8.75,JM,1707778431
213,ribeira brava,32.65,-17.0667,20.4,82,99,2.3,PT,1707778705
214,westport,41.1415,-73.3579,6.29,64,0,2.57,US,1707778706
215,moraleja,40.0162,-6.6977,13.69,94,97,1.58,ES,1707778707
216,luquillo,18.3725,-65.7166,26.96,79,0,3.09,PR,1707778708
217,minas de marcona,-15.2119,-75.1103,21.25,71,13,6.19,PE,1707778708
218,haiku-pauwela,20.9219,-156.3051,27.32,56,20,2.68,US,1707778709
219,isangel,-19.55,169.2667,29.06,89,75,3.09,VU,1707778710
220,puerto ayora,-0.7393,-90.3518,28.98,91,40,1.34,EC,1707778711
221,onega,63.9061,38.1404,-25.08,100,56,1.56,RU,1707778711
222,tvoroyri,61.5556,-6.8111,6.19,70,100,6.29,FO,1707778712
223,lipetsk,52.6031,39.5708,0.68,100,100,2.32,RU,1707778713
224,grand-bassam,5.2118,-3.7388,29.98,87,48,3.79,CI,1707778713
225,sydney mines,46.2367,-60.2177,0.44,80,75,3.09,CA,1707778714
226,cheremshan,54.6667,51.5,-7.81,95,100,5.42,RU,1707778715
227,purranque,-40.9167,-73.1667,21.63,27,3,3.63,CL,1707778716
228,vysokiy,58.35,60.05,-12.77,94,100,2.5,RU,1707778717
229,longyearbyen,78.2186,15.6401,-14.09,85,0,3.09,SJ,1707778133
230,al qusayr,34.5091,36.5798,12.25,59,100,2.43,SY,1707778718
231,walvis bay,-22.9575,14.5053,19.53,82,12,2.57,NA,1707778719
232,ambon,-3.6954,128.1814,26.08,89,40,1.54,ID,1707778720
233,kill devil hills,36.0307,-75.676,11.0,97,100,2.57,US,1707778720
234,chardara,41.2547,67.9692,4.7,62,11,2.44,KZ,1707778721
235,quepos,9.4236,-84.1652,28.98,71,32,1.78,CR,1707778722
236,namibe,-15.1961,12.1522,26.56,74,100,2.59,AO,1707778140
237,kone,-21.0595,164.8658,30.55,54,0,1.66,NC,1707778723
238,elliot,-31.3333,27.85,17.11,64,11,2.27,ZA,1707778724
239,antofagasta,-23.65,-70.4,22.6,83,99,3.61,CL,1707778725
240,port lincoln,-34.7333,135.8667,21.48,59,0,5.09,AU,1707778726
241,batang,-6.4846,110.7083,28.57,74,22,4.79,ID,1707778726
242,soio,-6.1349,12.3689,27.8,87,79,2.74,AO,1707778727
243,zouerate,22.7187,-12.4521,23.63,23,0,2.99,MR,1707778728
244,manokwari,-0.8667,134.0833,26.91,74,59,1.96,ID,1707778728
245,saint-joseph,-21.3667,55.6167,25.21,86,27,4.31,RE,1707778729
246,nuuk,64.1835,-51.7216,-12.66,66,40,6.71,GL,1707778152
247,vadso,70.0744,29.7487,-6.91,86,75,6.69,NO,1707778730
248,ruteng,-8.6136,120.4721,18.51,91,99,0.18,ID,1707778731
249,san luis de la loma,17.2706,-100.8939,27.33,61,15,2.49,MX,1707778732
250,tura,25.5198,90.2201,13.21,27,14,1.59,IN,1707778732
251,tadine,-21.55,167.8833,27.38,79,20,9.0,NC,1707778733
252,luwuk,-0.9516,122.7875,26.1,86,100,1.47,ID,1707778734
253,udachny,66.4167,112.4,-34.68,97,100,3.8,RU,1707778734
254,borcka,41.3632,41.6765,15.2,57,100,4.55,TR,1707778735
255,kushiro,42.975,144.3747,0.53,69,60,4.12,JP,1707778451
256,metlili chaamba,32.2667,3.6333,20.52,43,0,2.06,DZ,1707778736
257,uthal,25.8072,66.6219,20.69,50,100,1.15,PK,1707778737
258,keflavik,64.0049,-22.5624,1.95,86,40,6.69,IS,1707778738
259,callaway,30.153,-85.5699,19.96,87,100,7.2,US,1707778738
260,bemban,2.2684,102.3746,24.89,88,20,1.03,MY,1707778739
261,nyurba,63.2842,118.3319,-25.91,97,100,2.18,RU,1707778740
262,bardai,11.65,7.2333,24.85,12,3,3.78,NG,1707778740
263,taulaga,-11.0553,-171.0883,27.97,85,100,8.72,AS,1707778741
264,oxapampa,-10.5775,-75.4017,17.61,99,97,0.74,PE,1707778742
265,omdurman,15.6445,32.4777,24.34,18,28,4.59,SD,1707778743
266,kapa'a,22.0752,-159.319,26.99,56,0,4.12,US,1707778743
267,lagunas,-5.2269,-75.6753,24.97,96,95,1.21,PE,1707778744
268,tamanrasset,22.785,5.5228,16.95,27,0,2.06,DZ,1707778744
269,mugia,43.1041,-9.2179,14.39,89,91,9.46,ES,1707778745
270,amga,60.8953,131.9608,-36.15,100,98,1.38,RU,1707778746
271,zhaqsy,51.9083,67.3133,-20.43,92,95,3.76,KZ,1707778746
272,marte,12.3611,13.8246,24.32,25,0,3.48,NG,1707778747
273,taseyevo,57.2169,94.8978,-16.23,87,100,4.87,RU,1707778748
274,qarqaraly,49.4058,75.4742,-21.88,85,28,2.77,KZ,1707778749
275,santo antonio,-6.3106,-35.4789,26.93,75,11,5.31,BR,1707778749
276,little chute,44.28,-88.3184,8.11,39,0,3.6,US,1707778750
277,fort mcmurray,56.7268,-111.381,3.77,48,100,6.69,CA,1707778750
278,hualien city,23.9769,121.6044,15.67,66,4,3.19,TW,1707778751
279,gusinoozyorsk,51.2833,106.5,-18.79,90,79,1.73,RU,1707778752
280,carnarvon,-24.8667,113.6333,24.13,83,0,8.45,AU,1707778752
281,sinop,41.7711,34.8709,10.34,57,100,4.1,TR,1707778753
282,sinabang,2.4803,96.3801,26.99,78,1,0.42,ID,1707778754
283,kavieng,-2.5744,150.7967,28.36,76,80,4.11,PG,1707778754
284,luanda,-8.8368,13.2343,28.0,78,20,5.14,AO,1707778735
285,kargil,34.5667,76.1,-14.31,69,100,2.26,IN,1707778756
286,imperatriz,-5.5264,-47.4917,24.19,92,57,2.08,BR,1707778757
287,gardiner,44.2301,-69.7753,3.55,67,95,1.34,US,1707778757
288,rio tuba,8.5061,117.4317,26.0,73,100,2.0,PH,1707778758
289,katsuren-haebaru,26.3369,127.8719,19.43,61,100,3.6,JP,1707778759
290,tocopilla,-22.092,-70.1979,23.52,72,99,3.81,CL,1707778760
291,hammerfest,70.6634,23.6821,-3.75,68,0,3.09,NO,1707778761
292,argo,37.6333,22.7333,10.44,78,15,2.21,GR,1707778761
293,luderitz,-26.6481,15.1594,18.23,88,1,4.61,NA,1707778762
294,el hadjira,32.6134,5.5126,19.57,53,0,5.27,DZ,1707778763
295,ashti,19.3833,76.2333,21.45,31,66,2.76,IN,1707778764
296,vernon,50.2581,-119.2691,9.02,79,36,1.34,CA,1707778553
297,san rafael,-34.6177,-68.3301,24.22,29,7,6.23,AR,1707778642
298,dodola,6.9833,39.1833,13.91,77,78,1.7,ET,1707778766
299,linxia chengguanzhen,35.6003,103.2064,0.24,36,70,1.1,CN,1707778766
300,bani walid,31.7566,13.9942,14.85,59,25,2.93,LY,1707778767
301,mersa matruh,31.3525,27.2453,16.11,51,40,5.14,EG,1707778768
302,ust-nera,64.5667,143.2,-40.78,97,87,0.67,RU,1707778768
303,ilabaya,-17.4208,-70.5133,21.41,82,76,2.08,PE,1707778769
304,tatarsk,55.219,75.9828,-20.89,98,100,3.16,RU,1707778770
305,i-n-salah,27.1935,2.4607,21.52,27,0,2.34,DZ,1707778770
306,lazaro cardenas,17.9583,-102.2,26.81,61,30,4.03,MX,1707778771
307,shaoxing,30.011,120.5715,9.97,81,84,2.16,CN,1707778772
308,santa lucia,27.9117,-15.5407,15.62,83,20,7.2,ES,1707778772
309,dudinka,69.4058,86.1778,-37.4,99,26,1.79,RU,1707778773
310,abu dhabi,24.4667,54.3667,21.64,85,40,2.57,AE,1707778774
311,kourou,5.1552,-52.6478,25.03,93,88,3.76,GF,1707778774
312,chancay,-11.5714,-77.2672,23.68,84,86,4.66,PE,1707778775
